업체회원ID,상호명,주소,음식분야,음식점전화번호,사업자등록번호,테이블정보,메뉴정보,운영시간정보
null,만소만,서울특별시 동대문구 회기동 3-150 ,한식,null,null,null,null,null
null,봉추찜닭,서울특별시 동대문구 회기동 16-32 ,한식,null,null,null,null,null
null,뚱땡이식당,서울특별시 동대문구 이문동 175-10 (지상1층) ,한식,null,null,null,null,null
null,다래정,서울특별시 동대문구 이문동 305-133 ,한식,null,null,null,null,null
null,동해회수산,서울특별시 동대문구 이문동 180-11 (지상1층) (한천로 450) ,일식,null,null,null,null,null
null,이프,서울특별시 동대문구 답십리동 97-15 (지상2층) (전농로 113) ,경양식,null,null,null,null,null
null,태능숯불갈비,서울특별시 동대문구 용두동 119-37 ,한식,null,null,null,null,null
null,궁금한식당,서울특별시 동대문구 용두동 129-38 1층 ,한식,null,null,null,null,null
null,둥지백반,서울특별시 동대문구 장안동 287-1 ,한식,null,null,null,null,null
null,잔월,서울특별시 동대문구 회기동 60-46 ,경양식,null,null,null,null,null
null,대성식당,서울특별시 동대문구 장안동 125-3 ,한식,null,null,null,null,null
null,밀플랜비,서울특별시 동대문구 이문동 264-140 1층 ,중국식,null,null,null,null,null
null,무교동맷돌파전,서울특별시 동대문구 장안동 463-9 (장평1길7-14) ,한식,null,null,null,null,null
null,한옥촌,서울특별시 동대문구 전농동 38-35 (사가정길129-3) ,한식,null,null,null,null,null
null,8번지,서울특별시 동대문구 회기동 42-139 (경희대길21-4) ,경양식,null,null,null,null,null
null,이판사판회포차,서울특별시 동대문구 용두동 119-42 1층 ,한식,null,null,null,null,null
null,상봉닭한마리 장안동점,서울특별시 동대문구 장안동 334-1 지상1층 ,한식,null,null,null,null,null
null,원주종가집,서울특별시 동대문구 청량리동 772 1층 ,한식,null,null,null,null,null
null,가학산 흑염소 요리 전문점,서울특별시 동대문구 장안동 387-6 ,한식,null,null,null,null,null
null,돈벼락김치삼겹살,서울특별시 동대문구 장안동 342-24 지상1층 (장평11길 12) ,한식,null,null,null,null,null
null,꼴통,서울특별시 동대문구 전농동 103-286 (지상2층) (전농로 235-1) ,한식,null,null,null,null,null
null,향나무집,서울특별시 동대문구 전농동 38-34 1층 ,한식,null,null,null,null,null
null,아성식당,서울특별시 동대문구 전농동 195-14 (전농시장2길48) ,한식,null,null,null,null,null
null,박가네흑돼지생고기구이점,서울특별시 동대문구 청량리동 205-763 (제청길 19) ,한식,null,null,null,null,null
null,온달파전,서울특별시 동대문구 휘경동 319-31 (휘경서1길 9) ,한식,null,null,null,null,null
null,뽀빠이칡냉면,서울특별시 동대문구 답십리동 824 ,한식,null,null,null,null,null
null,에이바우트 경희대점,서울특별시 동대문구 회기동 42-21 회기동근생 ,한식,null,null,null,null,null
null,가마솥닭곰탕2500원,서울특별시 동대문구 전농동 150-7 (지상1층) ,한식,null,null,null,null,null
null,봉황부대찌개,서울특별시 동대문구 휘경동 49-178 ,한식,null,null,null,null,null
null,외대감자탕,서울특별시 동대문구 이문동 288-81 ,한식,null,null,null,null,null
null,청도해물탕아구찜,서울특별시 동대문구 제기동 478-6 ,한식,null,null,null,null,null
null,해송,서울특별시 동대문구 답십리동 14-7 ,한식,null,null,null,null,null
null,화성옥갈비,서울특별시 동대문구 전농동 33-29 ,한식,null,null,null,null,null
null,상하이문,서울특별시 동대문구 용두동 33-1 홈플러스 지하2층(하정로 137) ,중국식,null,null,null,null,null
null,가정식백반,서울특별시 동대문구 장안동 116-27 (전곡시장길27) ,한식,null,null,null,null,null
null,양지함박왕돈까스,서울특별시 동대문구 장안동 313-6 ,경양식,null,null,null,null,null
null,장수분식,서울특별시 동대문구 장안동 452-1 (장평2길23-3) ,한식,null,null,null,null,null
null,풍년해물탕,서울특별시 동대문구 청량리동 51-6 1층 ,한식,null,null,null,null,null
null,월매네남원추어탕,서울특별시 동대문구 청량리동 580 (홍릉길 57-1) ,한식,null,null,null,null,null
null,도화,서울특별시 동대문구 장안동 342-14 ,중국식,null,null,null,null,null
null,청년김밥,서울특별시 동대문구 신설동 76-43 ,한식,null,null,null,null,null
null,종암골,서울특별시 동대문구 제기동 1145-3 1층 ,한식,null,null,null,null,null
null,김치만선생,서울특별시 동대문구 전농동 103-289 (전농로233) ,한식,null,null,null,null,null
null,고모집,서울특별시 동대문구 제기동 137-183 (제기로 11-13) ,한식,null,null,null,null,null
null,술꾼일지,서울특별시 동대문구 회기동 42-82 회기동복합빌딩 ,한식,null,null,null,null,null
null,함양숯불갈비,서울특별시 동대문구 장안동 141-5 (동산길 4) ,한식,null,null,null,null,null
null,왕꼼장어,서울특별시 동대문구 장안동 463-6 1층 ,한식,null,null,null,null,null
null,흥부골숯불돼지갈비,서울특별시 동대문구 장안동 338-2 (장평10길 30) ,한식,null,null,null,null,null
null,등갈비의신화,서울특별시 동대문구 전농동 124-2 (배봉로147) ,한식,null,null,null,null,null
null,황하,서울특별시 동대문구 이문동 339-1 (회기안길2) ,중국식,null,null,null,null,null
null,골목한식,서울특별시 동대문구 회기동 3-185 ,한식,null,null,null,null,null
null,명동찌개마을,서울특별시 동대문구 청량리동 772 ,한식,null,null,null,null,null
null,유명홍두깨한방닭한마리칼국수,서울특별시 동대문구 장안동 380-5 1층 101호,한식,null,null,null,null,null
null,비사벌 전주콩나물국밥,서울특별시 동대문구 장안동 429-3 (성안빌딩 1호) (장한로 51) ,한식,null,null,null,null,null
null,두메산골,서울특별시 동대문구 제기동 438-11 (청량시장3길 37) ,한식,null,null,null,null,null
null,은이네,서울특별시 동대문구 답십리동 961-9 ,한식,null,null,null,null,null
null,참숯민물장어구이,서울특별시 동대문구 답십리동 265-1 1층 ,한식,null,null,null,null,null
null,본죽전농동점,서울특별시 동대문구 전농동 40 ,한식,null,null,null,null,null
null,우성식당,서울특별시 동대문구 용두동 20-51 1층 ,한식,null,null,null,null,null
null,조가네 부대찌개,서울특별시 동대문구 용두동 36-7 ,한식,null,null,null,null,null
null,이자까야 쥬베이,서울특별시 동대문구 용두동 36-1 (하정로 132) ,일식,null,null,null,null,null
null,동북풍미 양꼬치,서울특별시 동대문구 청량리동 316 1층 ,한식,null,null,null,null,null
null,인생극장,서울특별시 동대문구 장안동 338-2 ,한식,null,null,null,null,null
null,현대식당,서울특별시 동대문구 청량리동 738 ,한식,null,null,null,null,null
null,대박식당,서울특별시 동대문구 휘경동 163-8 ,한식,null,null,null,null,null
null,참치본가,서울특별시 동대문구 용두동 234-42 ,한식,null,null,null,null,null
null,형제집,서울특별시 동대문구 장안동 304-1 ,한식,null,null,null,null,null
null,작렬곱창,서울특별시 동대문구 장안동 102-2 지하1층 ,한식,null,null,null,null,null
null,면천추어탕,서울특별시 동대문구 장안동 417-3 1층 ,한식,null,null,null,null,null
null,도원식당,서울특별시 동대문구 답십리동 542-4 (황물길205) ,한식,null,null,null,null,null
null,호박웰빙숯불갈비,서울특별시 동대문구 신설동 24-1 ,한식,null,null,null,null,null
null,시골집,서울특별시 동대문구 이문동 334-87 (이문로 77-3) ,한식,null,null,null,null,null
null,찌개마을,서울특별시 동대문구 제기동 892-71 한솔동의보감 ,한식,null,null,null,null,null
null,이문왕곱창,서울특별시 동대문구 이문동 183-3 (한천로459) ,한식,null,null,null,null,null
null,금복,서울특별시 동대문구 제기동 136-120 (고대앞2길 17-1) ,한식,null,null,null,null,null
null,란찌개집,서울특별시 동대문구 장안동 321-4 1층 ,한식,null,null,null,null,null
null,마끼돈까스,서울특별시 동대문구 장안동 143-46 ,경양식,null,null,null,null,null
null,왕순대,서울특별시 동대문구 용두동 24-14 (고산자로182) ,한식,null,null,null,null,null
null,계경순대국(장안점),서울특별시 동대문구 장안동 337-12 (장평11길 26) ,한식,null,null,null,null,null
null,감자탕과빈대떡고을,서울특별시 동대문구 용두동 40-14 1층 ,한식,null,null,null,null,null
null,장안골,서울특별시 동대문구 장안동 286-12 ,한식,null,null,null,null,null
null,호남식당,서울특별시 동대문구 용두동 119-20 1층 ,한식,null,null,null,null,null
null,해뜰날,서울특별시 동대문구 답십리동 964-1 지상1층 ,한식,null,null,null,null,null
null,명물식당,서울특별시 동대문구 답십리동 66-18 ,한식,null,null,null,null,null
null,영주집,서울특별시 동대문구 제기동 892-71 한솔동의보감 5층 14호 ,한식,null,null,null,null,null
null,(주)라온나인,서울특별시 동대문구 제기동 892-71 한솔동의보감 ,뷔페식,null,null,null,null,null
null,우리집,서울특별시 동대문구 청량리동 50-17 (망우로 43) ,한식,null,null,null,null,null
null,대성식당,서울특별시 동대문구 제기동 646 주부일련번호:6 ,한식,null,null,null,null,null
null,수라간,서울특별시 동대문구 청량리동 50-6 ,한식,null,null,null,null,null
null,봉평메밀막국수,서울특별시 동대문구 장안동 162-9 (한천로106) ,한식,null,null,null,null,null
null,자가제빵 선명희피자 외대점,서울특별시 동대문구 이문동 346-45 (이문로65) ,한식,null,null,null,null,null
null,나주해장국,서울특별시 동대문구 답십리동 198-10 (답십리길 140-1) ,한식,null,null,null,null,null
null,본죽&비빔밥cafe,서울특별시 동대문구 장안동 336 장안현대홈타운 ,한식,null,null,null,null,null
null,타임하우스,서울특별시 동대문구 답십리동 490-123 (전농로 21) ,경양식,null,null,null,null,null
null,병천순대,서울특별시 동대문구 답십리동 99-5 ,한식,null,null,null,null,null
null,대청마루,서울특별시 동대문구 장안동 92-46 (경안길60) ,한식,null,null,null,null,null
null,남경식당,서울특별시 동대문구 장안동 463-9 (장평1길 7-14) ,한식,null,null,null,null,null
null,명가,서울특별시 동대문구 제기동 346 ,한식,null,null,null,null,null
null,뚝방집,서울특별시 동대문구 장안동 436-2 1층 ,한식,null,null,null,null,null
null,천궁,서울특별시 동대문구 제기동 892-71 한솔동의보감 ,한식,null,null,null,null,null
null,호박식당,서울특별시 동대문구 장안동 433-25 ,한식,null,null,null,null,null
null,롯데쇼핑(주)롯데슈퍼전농점,서울특별시 동대문구 전농동 10-0 ,한식,null,null,null,null,null
null,친정,서울특별시 동대문구 신설동 97-8 동광동대문베르빌 1층 108호,한식,null,null,null,null,null
null,놀부심보,서울특별시 동대문구 청량리동 203-180 (청홍동1길 18) ,한식,null,null,null,null,null
null,진수성찬,서울특별시 동대문구 용두동 255-58 ,한식,null,null,null,null,null
null,손큰할매순대국,서울특별시 동대문구 휘경동 321-27 1층 ,한식,null,null,null,null,null
null,선일해장국,서울특별시 동대문구 제기동 1144-1 지상1층 ,한식,null,null,null,null,null
null,본죽,서울특별시 동대문구 신설동 97-8 (하정로25) ,한식,null,null,null,null,null
null,천하일미,서울특별시 동대문구 장안동 163-17 1층 ,한식,null,null,null,null,null
null,장안식당,서울특별시 동대문구 답십리동 530-16 ,한식,null,null,null,null,null
null,돈보네,서울특별시 동대문구 장안동 305-3 1층 ,한식,null,null,null,null,null
null,먹거리식당II,서울특별시 동대문구 용두동 231-5 1층 ,한식,null,null,null,null,null
null,선민네,서울특별시 동대문구 청량리동 203-289 ,한식,null,null,null,null,null
null,박사네곱창,서울특별시 동대문구 답십리동 19-66 (지상1층) (동답남길 57-2) ,한식,null,null,null,null,null
null,엘브릴란테(el brillante),서울특별시 동대문구 이문동 288-53 지상2층 ,경양식,null,null,null,null,null
null,백고기,서울특별시 동대문구 장안동 378-6 (샛별공원1길 10) ,한식,null,null,null,null,null
null,이천농장정육식당,서울특별시 동대문구 장안동 306-2 ,한식,null,null,null,null,null
null,우미설렁탕,서울특별시 동대문구 답십리동 994 1층 ,한식,null,null,null,null,null
null,정통삼계탕,서울특별시 동대문구 용두동 129-414 (무학로 131) ,한식,null,null,null,null,null
null,산마을감자탕,서울특별시 동대문구 이문동 292-188 (문일길 11-1) ,한식,null,null,null,null,null
null,순창식당,서울특별시 동대문구 제기동 901-4 ,한식,null,null,null,null,null
null,닛시스시,서울특별시 동대문구 이문동 237-101 ,일식,null,null,null,null,null
null,꿀밤포차,서울특별시 동대문구 회기동 80-1 (이문로 25) ,한식,null,null,null,null,null
null,정대감감자탕,서울특별시 동대문구 장안동 431-1 ,한식,null,null,null,null,null
null,샹그라,서울특별시 동대문구 회기동 39-3 2층 ,중국식,null,null,null,null,null
null,충주식당,서울특별시 동대문구 장안동 194-12 1층 ,한식,null,null,null,null,null
null,압구정닭꼬치,서울특별시 동대문구 휘경동 319-16 (휘경서길 4) ,한식,null,null,null,null,null
null,산촌쌈밥,서울특별시 동대문구 전농동 687 신성미소지움아파트 101동 105호,한식,null,null,null,null,null
null,두미시골집,서울특별시 동대문구 이문동 247-4 (신이문7길42) ,한식,null,null,null,null,null
null,락퓨전요리주가,서울특별시 동대문구 전농동 649-1 (답십리길 55) ,한식,null,null,null,null,null
null,곱창마을,서울특별시 동대문구 이문동 217-12 ,한식,null,null,null,null,null
null,본죽,서울특별시 동대문구 답십리동 492-1 (천호대로147) ,한식,null,null,null,null,null
null,피자스쿨 경희대점,서울특별시 동대문구 회기동 76-10 (회기로 172) ,경양식,null,null,null,null,null
null,왕십리원조고가네곱창,서울특별시 동대문구 전농동 124-39 지상1층 ,한식,null,null,null,null,null
null,주막집,서울특별시 동대문구 청량리동 235-4 (지하3호 2-가) (망우로 19) ,한식,null,null,null,null,null
null,디귿(digeut),서울특별시 동대문구 장안동 463-1 ,한식,null,null,null,null,null
null,불티나곱창,서울특별시 동대문구 장안동 339-25 1층 ,한식,null,null,null,null,null
null,고향상회,서울특별시 동대문구 청량리동 773 ,한식,null,null,null,null,null
null,메가커피 장안점,서울특별시 동대문구 장안동 366-1 ,한식,null,null,null,null,null
null,곱창이랑골뱅이랑,서울특별시 동대문구 장안동 345-3 우석타운2 ,한식,null,null,null,null,null
null,제이제이바(JJ BAR),서울특별시 동대문구 장안동 374-1 (장한로85) ,일식,null,null,null,null,null
null,바다식당,서울특별시 동대문구 청량리동 778 (청량시장길 20) ,한식,null,null,null,null,null
null,두레박,서울특별시 동대문구 장안동 108-6 (한천로196) ,한식,null,null,null,null,null
null,신중화랑,서울특별시 동대문구 장안동 313-1 (사가정길248) ,중국식,null,null,null,null,null
null,용두동이모쭈꾸미,서울특별시 동대문구 용두동 112-33 (용두서길7) ,한식,null,null,null,null,null
null,취홍,서울특별시 동대문구 청량리동 346-1 ,한식,null,null,null,null,null
null,골목집,서울특별시 동대문구 장안동 331-8 1층 ,한식,null,null,null,null,null
null,불타는짜장,서울특별시 동대문구 답십리동 276-4 (답십리새싹길13) ,중국식,null,null,null,null,null
null,논빼미,서울특별시 동대문구 장안동 135-21 (전곡시장길101-1) ,한식,null,null,null,null,null
null,불타는왕십리,서울특별시 동대문구 제기동 1145-1 ,한식,null,null,null,null,null
null,추억의연탄구이,서울특별시 동대문구 용두동 52-6 (용일안5길 7) ,한식,null,null,null,null,null
null,토종순대국,서울특별시 동대문구 장안동 119-18 (한천로174) ,한식,null,null,null,null,null
null,물고기집,서울특별시 동대문구 답십리동 495-1 지상1층 ,일식,null,null,null,null,null
null,신현대식당,서울특별시 동대문구 장안동 327-15 (벚꽃8길 34-1) ,한식,null,null,null,null,null
null,오일삼 양꼬치전문점,서울특별시 동대문구 이문동 316-1 ,한식,null,null,null,null,null
null,마포주물럭,서울특별시 동대문구 용두동 52-18 ,한식,null,null,null,null,null
null,복성장,서울특별시 동대문구 장안동 338-2 ,한식,null,null,null,null,null
null,고깃,서울특별시 동대문구 용두동 119-37 ,한식,null,null,null,null,null
null,진성 숯불갈비,서울특별시 동대문구 제기동 486-19 ,한식,null,null,null,null,null
null,최고을,서울특별시 동대문구 장안동 194-11 지상1층 ,한식,null,null,null,null,null
null,소울,서울특별시 동대문구 회기동 45-105 ,한식,null,null,null,null,null
null,엽기떡볶기 고려대점,서울특별시 동대문구 제기동 137-433 ,일식,null,null,null,null,null
null,내가찾던최고의맛있는족발,서울특별시 동대문구 장안동 436-1 ,한식,null,null,null,null,null
null,라이브카페뜨락,서울특별시 동대문구 휘경동 183-386 ,경양식,null,null,null,null,null
null,향,서울특별시 동대문구 신설동 76-57 2층 ,한식,null,null,null,null,null
null,솥뚜껑삼겹살,서울특별시 동대문구 답십리동 53-41 1층 ,한식,null,null,null,null,null
null,은행,서울특별시 동대문구 전농동 648-1 (배봉로 50) ,한식,null,null,null,null,null
null,참존숯불바베큐치킨,서울특별시 동대문구 전농동 643-53 1층 ,한식,null,null,null,null,null
null,돈장군vs소일병,서울특별시 동대문구 제기동 241-14 (약령시길 43) ,한식,null,null,null,null,null
null,회기왕갈비탕,서울특별시 동대문구 휘경동 183-352 ,한식,null,null,null,null,null
null,동화기사식당,서울특별시 동대문구 답십리동 645-8 (미나리길32) ,한식,null,null,null,null,null
null,쉬(She),서울특별시 동대문구 장안동 428-1 (장일중앙길38) ,한식,null,null,null,null,null
null,아욱꽃,서울특별시 동대문구 이문동 305-85 1층 ,한식,null,null,null,null,null
null,부부식당,서울특별시 동대문구 장안동 313-4 1층 ,일식,null,null,null,null,null
null,뚱이식당,서울특별시 동대문구 장안동 419-3 ,한식,null,null,null,null,null
null,인우스시,서울특별시 동대문구 답십리동 19-65 ,일식,null,null,null,null,null
null,브라운돈까스,서울특별시 동대문구 장안동 334-7 2층 ,한식,null,null,null,null,null
null,장진주,서울특별시 동대문구 제기동 948 (약령동길 73) ,한식,null,null,null,null,null
null,신촌설렁탕,서울특별시 동대문구 회기동 33-1 ,한식,null,null,null,null,null
null,다래식당,서울특별시 동대문구 장안동 375-9 (장한로67) ,한식,null,null,null,null,null
null,공자식탁,서울특별시 동대문구 제기동 1142-8 (지하1층~지상1층) (제청길 7) ,한식,null,null,null,null,null
null,장안 민물장어,서울특별시 동대문구 장안동 308-1 ,한식,null,null,null,null,null
null,고기혁명,서울특별시 동대문구 휘경동 286-5 (휘경중2길 1) ,한식,null,null,null,null,null
null,일번지곱창,서울특별시 동대문구 답십리동 488-93 ,한식,null,null,null,null,null
null,짱구네식당,서울특별시 동대문구 휘경동 286-73 (휘경중2길 2) ,한식,null,null,null,null,null
null,굿아임찜닭(경희대점),서울특별시 동대문구 회기동 42-55 1층 ,한식,null,null,null,null,null
null,향원,서울특별시 동대문구 제기동 892-8 (약령서길 20) ,중국식,null,null,null,null,null
null,마왕족발,서울특별시 동대문구 휘경동 293-157 ,한식,null,null,null,null,null
null,한솔푸드,서울특별시 동대문구 제기동 892-71 (왕산로 247) ,한식,null,null,null,null,null
null,오리떼닭한마리,서울특별시 동대문구 전농동 129-64 1층 ,한식,null,null,null,null,null
null,부어치킨 신설동역지점,서울특별시 동대문구 신설동 97-8 동광동대문베르빌 ,한식,null,null,null,null,null
null,신가족발,서울특별시 동대문구 이문동 331-18 (외대길53) ,한식,null,null,null,null,null
null,용진산닭곰탕,서울특별시 동대문구 답십리동 14-8 1층 ,한식,null,null,null,null,null
null,두꺼비식당,서울특별시 동대문구 휘경동 319-2 ,한식,null,null,null,null,null
null,마구로준,서울특별시 동대문구 회기동 105-34 1층 ,일식,null,null,null,null,null
null,오뚝,서울특별시 동대문구 회기동 62-6 (안화현2길 35) ,한식,null,null,null,null,null
null,광주집,서울특별시 동대문구 전농동 1-174 (한천로221) ,한식,null,null,null,null,null
null,피자나라,서울특별시 동대문구 용두동 221-2 1층 ,한식,null,null,null,null,null
null,육전국밥 장안점,서울특별시 동대문구 장안동 310-3 ,한식,null,null,null,null,null
null,조은식당,서울특별시 동대문구 장안동 117-6 ,한식,null,null,null,null,null
null,만원의행복,서울특별시 동대문구 제기동 1148-18 (회기로 6) ,한식,null,null,null,null,null
null,파이스타,서울특별시 동대문구 제기동 288 (홍릉시장6길 7) ,한식,null,null,null,null,null
null,동해관,서울특별시 동대문구 장안동 399-30 (장안벌길119) ,한식,null,null,null,null,null
null,부산돼지국밥,서울특별시 동대문구 장안동 97-9 ,한식,null,null,null,null,null
null,전주전,서울특별시 동대문구 장안동 189-20 ,한식,null,null,null,null,null
null,돈김치,서울특별시 동대문구 장안동 426-4 ,한식,null,null,null,null,null
null,달래해장 장한평점,서울특별시 동대문구 장안동 463-3 성동빌딩 1층 103호 ,한식,null,null,null,null,null
null,국수나무,서울특별시 동대문구 장안동 331-4 ,한식,null,null,null,null,null
null,왕도숯불갈비,서울특별시 동대문구 제기동 438-9 ,한식,null,null,null,null,null
null,화끈하고통크게,서울특별시 동대문구 답십리동 477-26 (답일길 4) ,한식,null,null,null,null,null
null,본죽&비빔밥카페 제기동역점,서울특별시 동대문구 용두동 790 롯데캐슬피렌체 ,한식,null,null,null,null,null
null,산카이회기역점,서울특별시 동대문구 휘경동 320-4 1층 ,한식,null,null,null,null,null
null,신일품순대국,서울특별시 동대문구 장안동 432-4 형인타워 ,한식,null,null,null,null,null
null,리젠시,서울특별시 동대문구 청량리동 296 (홍릉길 10) ,한식,null,null,null,null,null
null,홍릉각,서울특별시 동대문구 제기동 838 (경동시장길 75) ,중국식,null,null,null,null,null
null,룰루랄라,서울특별시 동대문구 장안동 361-3 (장평5길3) ,한식,null,null,null,null,null
null,동강오리앤오매떡,서울특별시 동대문구 청량리동 209-2 ,한식,null,null,null,null,null
null,황금갈비,서울특별시 동대문구 답십리동 198-45 (상원동2길 24) ,한식,null,null,null,null,null
null,수유동 진미숯불닭갈비 답십리점,서울특별시 동대문구 답십리동 99-6 ,한식,null,null,null,null,null
null,신원오리,서울특별시 동대문구 제기동 153 ,한식,null,null,null,null,null
null,옛맛수제피순대,서울특별시 동대문구 장안동 308-8 ,한식,null,null,null,null,null
null,칼리앤메리,서울특별시 동대문구 전농동 150 ,한식,null,null,null,null,null
null,김봉순허브족발보쌈,서울특별시 동대문구 장안동 116-6 1층 ,한식,null,null,null,null,null
null,춘천식당,서울특별시 동대문구 청량리동 733 ,한식,null,null,null,null,null
null,서초곱창,서울특별시 동대문구 답십리동 490-47 1층 ,한식,null,null,null,null,null
null,어르길(ORGIL),서울특별시 동대문구 장안동 194-12 ,한식,null,null,null,null,null
null,주왕족발,서울특별시 동대문구 제기동 632-16 (동서시장길 24) ,한식,null,null,null,null,null
null,3번지고깃집,서울특별시 동대문구 장안동 344-3 (장평10길 9) ,한식,null,null,null,null,null
null,아인스,서울특별시 동대문구 회기동 16-69 ,한식,null,null,null,null,null
null,돈앤구이,서울특별시 동대문구 장안동 389-1 (장미길23) ,한식,null,null,null,null,null
null,포마토,서울특별시 동대문구 전농동 295-30 (전농로130) ,한식,null,null,null,null,null
null,용두쭈꾸미,서울특별시 동대문구 전농동 648-34 ,한식,null,null,null,null,null
null,장미식당,서울특별시 동대문구 용두동 689-19 ,한식,null,null,null,null,null
null,명품한방삼계탕,서울특별시 동대문구 장안동 430-4 ,한식,null,null,null,null,null
null,한촌설렁탕답십리점,서울특별시 동대문구 답십리동 50-27 지상1층 ,한식,null,null,null,null,null
null,함바식당,서울특별시 동대문구 이문동 240-2 (신이문길 23) ,한식,null,null,null,null,null
null,농장이야기 장한평역점,서울특별시 동대문구 장안동 463-2 ,한식,null,null,null,null,null
null,우마이,서울특별시 동대문구 휘경동 264-2 ,한식,null,null,null,null,null
null,찌마기 용두점,서울특별시 동대문구 용두동 127-10 1층 ,한식,null,null,null,null,null
null,우돈마루,서울특별시 동대문구 장안동 428-9 1층 ,한식,null,null,null,null,null
null,바지락칼국수,서울특별시 동대문구 이문동 134-14 (둑구말길46) ,한식,null,null,null,null,null
null,어흥식당,서울특별시 동대문구 회기동 42-74 1층 ,한식,null,null,null,null,null
null,닭으로가,서울특별시 동대문구 장안동 344-9 (장평10길7) ,한식,null,null,null,null,null
null,마장동2C,서울특별시 동대문구 장안동 433-11 ,일식,null,null,null,null,null
null,녹두삼계탕,서울특별시 동대문구 휘경동 167-25 (휘경안길 24) ,한식,null,null,null,null,null
null,애넷아빠 생선굽는날,서울특별시 동대문구 장안동 95-1 (한천로224) ,한식,null,null,null,null,null
null,청량조개구이,서울특별시 동대문구 제기동 486-20 (청량시장4길 17) ,한식,null,null,null,null,null
null,김밥앤국시,서울특별시 동대문구 용두동 40-37 [고산자로 409-1] ,한식,null,null,null,null,null
null,맘스터치,서울특별시 동대문구 전농동 103-340 씨티빌라트 ,한식,null,null,null,null,null
null,윤가네,서울특별시 동대문구 청량리동 769-1 ,한식,null,null,null,null,null
null,주문진,서울특별시 동대문구 회기동 60-50 2층 ,한식,null,null,null,null,null
null,풍성집,서울특별시 동대문구 답십리동 35-9 지상1층 ,한식,null,null,null,null,null
null,시대먹고지고먹고,서울특별시 동대문구 전농동 622-1 3층 ,한식,null,null,null,null,null
null,가온푸드유통,서울특별시 동대문구 휘경동 265-2 1층 ,한식,null,null,null,null,null
null,장평곱창,서울특별시 동대문구 장안동 375-4 (장한로65) ,한식,null,null,null,null,null
null,역전할머니맥주 장한평점,서울특별시 동대문구 장안동 463-2 ,한식,null,null,null,null,null
null,원조멸치국수,서울특별시 동대문구 답십리동 2-2 ,한식,null,null,null,null,null
null,옛날할머니보쌈,서울특별시 동대문구 이문동 287-22 ,한식,null,null,null,null,null
null,불닭발땡초동대문엽기떡볶이,서울특별시 동대문구 용두동 236-1 1층104호 ,한식,null,null,null,null,null
null,꼴더덕 꼴더덕,서울특별시 동대문구 답십리동 2-179 지상1 2층(답십리산길 13) ,한식,null,null,null,null,null
null,흑염소요리전문점 광주집,서울특별시 동대문구 청량리동 520-60 1층 ,한식,null,null,null,null,null
null,다성샤브샤브,서울특별시 동대문구 전농동 622-10 (답십리길21-1) ,한식,null,null,null,null,null
null,신가네,서울특별시 동대문구 용두동 118-81 1층 ,한식,null,null,null,null,null
null,화로상회 답십리점,서울특별시 동대문구 답십리동 53-14 1층 ,한식,null,null,null,null,null
null,태양해물아구찜탕,서울특별시 동대문구 답십리동 496-2 1~2층 ,한식,null,null,null,null,null
null,광한루남원추어탕,서울특별시 동대문구 이문동 335-5 1층 ,한식,null,null,null,null,null
null,불광사철탕,서울특별시 동대문구 제기동 466 ,한식,null,null,null,null,null
null,고래돈가스,서울특별시 동대문구 제기동 137-46 ,한식,null,null,null,null,null
null,어죽이,서울특별시 동대문구 신설동 117-8 (도서관길18) ,한식,null,null,null,null,null
null,양촌리,서울특별시 동대문구 장안동 416-10 삼우빌딩 101호 (천호대로 231) ,한식,null,null,null,null,null
null,갯벌쭈꾸미,서울특별시 동대문구 용두동 26-12 (용우물4길17) ,한식,null,null,null,null,null
null,본가짜장,서울특별시 동대문구 전농동 152-11 ,중국식,null,null,null,null,null
null,허파식당,서울특별시 동대문구 용두동 52-12 ,한식,null,null,null,null,null
null,옥이네 곱창,서울특별시 동대문구 전농동 295-96 ,한식,null,null,null,null,null
null,장안참숯수제갈비,서울특별시 동대문구 장안동 459-2 1층 ,한식,null,null,null,null,null
null,용두삼겹살,서울특별시 동대문구 용두동 118-86 (무학로 89) ,한식,null,null,null,null,null
null,박가네 고깃간,서울특별시 동대문구 장안동 150-2 ,한식,null,null,null,null,null
null,개코먹태치킨,서울특별시 동대문구 장안동 334-2 ,한식,null,null,null,null,null
null,전농기사식당,서울특별시 동대문구 전농동 687 신성미소지움상가 101동 104호,한식,null,null,null,null,null
null,하남불백집,서울특별시 동대문구 신설동 97-8 동광동대문베르빌 ,중국식,null,null,null,null,null
null,추억의밥상,서울특별시 동대문구 제기동 892-71 5층 16호 (왕산로 247) ,한식,null,null,null,null,null
null,신의주 찹쌀순대와 쭈꾸미,서울특별시 동대문구 이문동 289-1 ,일식,null,null,null,null,null
null,영미네곱창전골,서울특별시 동대문구 이문동 305-69 ,한식,null,null,null,null,null
null,마라전설 경희대점,서울특별시 동대문구 회기동 42-98 2층 ,중국식,null,null,null,null,null
null,시장식당,서울특별시 동대문구 청량리동 782 (청량시장길 26-2) ,한식,null,null,null,null,null
null,대동숯불생고기,서울특별시 동대문구 장안동 194-28 민준빌딩 ,한식,null,null,null,null,null
null,일떡 신설동점,서울특별시 동대문구 신설동 73-1 1층 ,한식,null,null,null,null,null
null,나나키친,서울특별시 동대문구 장안동 127-7 ,한식,null,null,null,null,null
